date,fund,company,ticker,shares,market value($),weight(%)
2021-04-08,ARKX,JAWS SPITFIRE ACQUISITION-A,SPFR,241618.0,2527324.28,0.43
2021-04-08,ARKX,JD.COM INC-ADR,JD,336438.0,27335587.5,4.6
2021-04-08,ARKX,KOMATSU LTD,6301,837188.0,26100410.07,4.39
2021-04-08,ARKX,KRATOS DEFENSE & SECURITY,KTOS,1214228.0,33961957.16,5.71
2021-04-08,ARKX,L3HARRIS TECHNOLOGIES INC,LHX,140605.0,29337233.25,4.94
2021-04-08,ARKX,LOCKHEED MARTIN CORP,LMT,68699.0,26118672.81,4.39
2021-04-08,ARKX,MEITUAN-CLASS B,3690,108076.0,4415033.75,0.74
2021-04-08,ARKX,MORGAN STANLEY GOVT INSTL 8035,,15746360.58,15746360.58,2.65
2021-04-08,ARKX,NETFLIX INC,NFLX,14026.0,7672081.74,1.29
2021-04-08,ARKX,NVIDIA CORP,NVDA,36318.0,20546545.32,3.46
2021-04-08,ARKX,RAVEN INDUSTRIES INC,RAVN,282877.0,10757812.31,1.81
2021-04-08,ARKX,REINVENT TECHNOLOGY-CLASS A,RTP,546525.0,5525367.75,0.93
2021-04-08,ARKX,SPIRIT AEROSYSTEMS HOLD-CL A,SPR,378847.0,18385444.91,3.09
2021-04-08,ARKX,SYNOPSYS INC,SNPS,22945.0,5896865.0,0.99
2021-04-08,ARKX,TAIWAN SEMICONDUCTOR-SP ADR,TSM,20349.0,2439641.61,0.41
2021-04-08,ARKX,TELEDYNE TECHNOLOGIES INC,TDY,35761.0,14842960.66,2.5
2021-04-08,ARKX,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,70370.0,5507859.9,0.93
2021-04-08,ARKX,TERADYNE INC,TER,118196.0,15575868.88,2.62
2021-04-08,ARKX,THALES SA,HO,226046.0,23359267.51,3.93
2021-04-08,ARKX,THE 3D PRINTING ETF,PRNT,901743.0,35050750.41,5.9
2021-04-08,ARKX,TRIMBLE INC,TRMB,637214.0,50811444.36,8.55
2021-04-08,ARKX,VIRGIN GALACTIC HOLDINGS INC,SPCE,370523.0,10834092.52,1.82
2021-04-08,ARKX,WORKHORSE GROUP INC,WKHS,443487.0,5856245.84,0.99
2021-04-08,ARKX,XILINX INC,XLNX,45754.0,6024886.72,1.01
2021-04-09,ARKX,AEROVIRONMENT INC,AVAV,61847.0,7113023.47,1.09
2021-04-09,ARKX,AIRBUS SE,AIR,87425.0,10498749.08,1.61
2021-04-09,ARKX,ALIBABA GROUP HOLDING-SP ADR,BABA,43316.0,9886443.84,1.52
2021-04-09,ARKX,ALPHABET INC-CL C,GOOG,8526.0,19315141.44,2.97
2021-04-09,ARKX,AMAZON.COM INC,AMZN,6092.0,20099335.6,3.09
2021-04-09,ARKX,ANSYS INC,ANSS,18277.0,6620660.48,1.02
2021-04-09,ARKX,ATLAS CREST INVESTMENT COR-A,ACIC,595488.0,6193075.2,0.95
2021-04-09,ARKX,AUTODESK INC,ADSK,18375.0,5391776.25,0.83
2021-04-09,ARKX,BOEING CO/THE,BA,88450.0,22550327.5,3.47
2021-04-09,ARKX,DASSAULT SYSTEMES SE,DSY,73461.0,16597820.59,2.55
2021-04-09,ARKX,DEERE & CO,DE,43946.0,16438880.22,2.53
2021-04-09,ARKX,ELBIT SYSTEMS LTD,ESLT,65249.0,9487204.6,1.46
2021-04-09,ARKX,GARMIN LTD,GRMN U,96381.0,13072155.03,2.01
2021-04-09,ARKX,HEICO CORP,HEI,56720.0,7470024.0,1.15
2021-04-09,ARKX,HONEYWELL INTERNATIONAL INC,HON,31778.0,6986711.08,1.07
2021-04-09,ARKX,IRIDIUM COMMUNICATIONS INC,IRDM,721355.0,30325764.2,4.66
2021-04-09,ARKX,JAWS SPITFIRE ACQUISITION-A,SPFR,484345.0,5177648.05,0.8
2021-04-09,ARKX,JD.COM INC-ADR,JD,367794.0,30210599.16,4.65
2021-04-09,ARKX,KOMATSU LTD,6301,915188.0,28651693.3,4.41
2021-04-09,ARKX,KRATOS DEFENSE & SECURITY,KTOS,1327380.0,37604675.4,5.78
2021-04-09,ARKX,L3HARRIS TECHNOLOGIES INC,LHX,153709.0,31893080.41,4.9
2021-04-09,ARKX,LOCKHEED MARTIN CORP,LMT,75095.0,28988171.9,4.46
2021-04-09,ARKX,MEITUAN-CLASS B,3690,118476.0,4887681.59,0.75
2021-04-09,ARKX,MORGAN STANLEY GOVT INSTL 8035,,825450.39,825450.39,0.13
2021-04-09,ARKX,NETFLIX INC,NFLX,15326.0,8499493.08,1.31
2021-04-09,ARKX,NVIDIA CORP,NVDA,39698.0,22734250.64,3.5
2021-04-09,ARKX,RAVEN INDUSTRIES INC,RAVN,309241.0,11930517.78,1.83
2021-04-09,ARKX,REINVENT TECHNOLOGY-CLASS A,RTP,597485.0,6148120.65,0.95
2021-04-09,ARKX,SPIRIT AEROSYSTEMS HOLD-CL A,SPR,414155.0,20301878.1,3.12
2021-04-09,ARKX,SYNOPSYS INC,SNPS,25077.0,6545347.77,1.01
